Datetime,Water Level (m)
2024-08-27 18:00:00,1.138508
2024-08-27 19:00:00,1.2587707
2024-08-27 20:00:00,1.3799671
2024-08-27 21:00:00,1.5007912
2024-08-27 22:00:00,1.620891
2024-08-27 23:00:00,1.73935
2024-08-28 00:00:00,1.854706
2024-08-28 01:00:00,1.9660313
2024-08-28 02:00:00,2.0727384
2024-08-28 03:00:00,2.165977
2024-08-28 04:00:00,2.2516751
2024-08-28 05:00:00,2.3347416
2024-08-28 06:00:00,2.4381852
2024-08-28 07:00:00,2.5247998
2024-08-28 08:00:00,2.6158988
2024-08-28 09:00:00,2.631664
2024-08-28 10:00:00,2.67618
2024-08-28 11:00:00,2.7777786
2024-08-28 12:00:00,2.8718832
2024-08-28 13:00:00,2.9614038
2024-08-28 14:00:00,3.0138855
2024-08-28 15:00:00,3.0669274
2024-08-28 16:00:00,3.112425
2024-08-28 17:00:00,3.1380267
2024-08-28 18:00:00,3.137121
2024-08-28 19:00:00,3.1813138
2024-08-28 20:00:00,3.2095985
2024-08-28 21:00:00,3.2370377
2024-08-28 22:00:00,3.2630398
2024-08-28 23:00:00,3.2835724
2024-08-29 00:00:00,3.302584
2024-08-29 01:00:00,3.3183675
2024-08-29 02:00:00,3.3392217
2024-08-29 03:00:00,3.356536
2024-08-29 04:00:00,3.3876333
2024-08-29 05:00:00,3.4191594
2024-08-29 06:00:00,3.4513018
2024-08-29 07:00:00,3.487594
2024-08-29 08:00:00,3.518295
2024-08-29 09:00:00,3.556697
2024-08-29 10:00:00,3.5800366
2024-08-29 11:00:00,3.5911093
2024-08-29 12:00:00,3.6023626
2024-08-29 13:00:00,3.6206024
2024-08-29 14:00:00,3.6417425
2024-08-29 15:00:00,3.657629
2024-08-29 16:00:00,3.6794894
2024-08-29 17:00:00,3.7005982
2024-08-29 18:00:00,3.7233279
2024-08-29 19:00:00,3.7475288
2024-08-29 20:00:00,3.765468
2024-08-29 21:00:00,3.7860546
2024-08-29 22:00:00,3.8087027
2024-08-29 23:00:00,3.8285375
2024-08-30 00:00:00,3.8375452
2024-08-30 01:00:00,3.8442957
2024-08-30 02:00:00,3.851556
2024-08-30 03:00:00,3.8529446
2024-08-30 04:00:00,3.8606308
2024-08-30 05:00:00,3.8698277
2024-08-30 06:00:00,3.8792055
2024-08-30 07:00:00,3.8905203
2024-08-30 08:00:00,3.9020803
2024-08-30 09:00:00,3.911761
2024-08-30 10:00:00,3.9220972
2024-08-30 11:00:00,3.9351647
2024-08-30 12:00:00,3.9427974
2024-08-30 13:00:00,3.9544873
2024-08-30 14:00:00,3.9633384
2024-08-30 15:00:00,3.9765022
2024-08-30 16:00:00,3.9851387
2024-08-30 17:00:00,3.9910693
2024-08-30 18:00:00,3.992476
2024-08-30 19:00:00,4.0023155
2024-08-30 20:00:00,4.0183806
2024-08-30 21:00:00,4.0345426
2024-08-30 22:00:00,4.04745
2024-08-30 23:00:00,4.061143
2024-08-31 00:00:00,4.0780015
2024-08-31 01:00:00,4.0940146
2024-08-31 02:00:00,4.110919
2024-08-31 03:00:00,4.1273074
2024-08-31 04:00:00,4.1404305
2024-08-31 05:00:00,4.1542673
2024-08-31 06:00:00,4.1719136
2024-08-31 07:00:00,4.1898127
2024-08-31 08:00:00,4.2050433
2024-08-31 09:00:00,4.2220864
2024-08-31 10:00:00,4.224561
2024-08-31 11:00:00,4.241922
2024-08-31 12:00:00,4.2558436
2024-08-31 13:00:00,4.266422
2024-08-31 14:00:00,4.2815337
2024-08-31 15:00:00,4.2937884
2024-08-31 16:00:00,4.31284
2024-08-31 17:00:00,4.329993
2024-08-31 18:00:00,4.3450193
2024-08-31 19:00:00,4.3581634
2024-08-31 20:00:00,4.369142
2024-08-31 21:00:00,4.380742
2024-08-31 22:00:00,4.3917584
2024-08-31 23:00:00,4.4044313
2024-09-01 00:00:00,4.413353
2024-09-01 01:00:00,4.41948
2024-09-01 02:00:00,4.4290137
2024-09-01 03:00:00,4.437868
2024-09-01 04:00:00,4.4470873
2024-09-01 05:00:00,4.4582047
2024-09-01 06:00:00,4.4697256
2024-09-01 07:00:00,4.480439
2024-09-01 08:00:00,4.4906597
2024-09-01 09:00:00,4.5003834
2024-09-01 10:00:00,4.5095553
2024-09-01 11:00:00,4.5184197
2024-09-01 12:00:00,4.5259604
2024-09-01 13:00:00,4.5334897
2024-09-01 14:00:00,4.539475
2024-09-01 15:00:00,4.549112
2024-09-01 16:00:00,4.5598845
2024-09-01 17:00:00,4.570829
2024-09-01 18:00:00,4.582166
2024-09-01 19:00:00,4.591197
2024-09-01 20:00:00,4.5957484
2024-09-01 21:00:00,4.604593
2024-09-01 22:00:00,4.6105213
2024-09-01 23:00:00,4.6162944
2024-09-02 00:00:00,4.621666
2024-09-02 01:00:00,4.627924
2024-09-02 02:00:00,4.6330953
2024-09-02 03:00:00,4.637459
2024-09-02 04:00:00,4.6358724
2024-09-02 05:00:00,4.644107
2024-09-02 06:00:00,4.6503
2024-09-02 07:00:00,4.659202
2024-09-02 08:00:00,4.6681547
2024-09-02 09:00:00,4.67511
2024-09-02 10:00:00,4.681105
2024-09-02 11:00:00,4.686835
2024-09-02 12:00:00,4.692352
2024-09-02 13:00:00,4.6981454
2024-09-02 14:00:00,4.702691
2024-09-02 15:00:00,4.706861
2024-09-02 16:00:00,4.7110996
2024-09-02 17:00:00,4.7182837
2024-09-02 18:00:00,4.7266083
